A,B,C,IC,IB
2,3,88,0,0
31,74,88,0,0
31,74,24,0,0
2,3,120,0,0
2,3,120,0,0
31,74,88,0,0
2,74,120,0,0
45,74,75,0,0
45,74,24,0,0
45,555,88,0,1
2,555,88,0,0
31,145,75,0,0
31,555,24,0,0
31,145,75,0,0
2,145,88,0,0
2,145,75,0,0
2,555,120,0,0
31,74,75,0,0
2,145,75,0,0
2,74,120,0,0
31,555,75,1,0
45,145,120,0,0
2,3,75,1,0
45,3,75,0,0
2,555,75,1,0
31,3,24,0,0
45,3,88,0,0
31,3,75,0,0
45,145,88,0,0
31,145,75,0,0
31,74,24,1,0
2,3,120,0,0
31,74,88,0,0
31,74,88,0,0
2,145,88,0,0
31,74,24,0,0
31,555,88,0,1
31,555,24,0,0
2,555,120,0,0
2,3,120,0,0
31,555,120,0,0
2,555,75,0,0
2,145,88,0,0
45,555,88,0,1
31,74,24,0,0
31,555,24,0,0
45,3,88,0,1
2,3,88,0,0
31,74,75,0,0
2,145,120,0,0
2,145,120,0,0
31,74,24,0,0
45,145,88,1,0
31,74,24,0,0
45,3,75,0,0
2,3,120,0,0
31,74,75,0,0
2,3,120,0,0
45,3,88,0,0
2,3,120,0,0
31,74,75,0,0
2,555,120,0,0
31,555,75,0,0
2,3,120,0,0
31,74,75,0,0
31,3,24,0,0
2,145,120,0,0
2,555,24,0,0
2,3,88,0,0
45,3,88,0,0
31,555,88,0,0
2,555,88,0,0
45,145,24,0,0
2,555,120,0,0
31,3,24,0,0
2,145,120,0,0
31,145,75,0,0
31,74,88,0,0
2,3,120,0,0
31,555,75,1,0
45,555,88,0,0
31,555,24,0,0
31,145,24,0,0
45,3,120,0,0
2,555,120,0,0
2,74,88,0,0
45,3,75,0,0
31,3,24,0,0
31,555,88,0,0
2,145,75,0,0
45,145,120,0,0
2,3,88,0,0
31,555,75,0,0
31,555,24,1,0
31,145,75,0,0
31,145,24,1,0
45,3,75,0,0
31,555,75,0,0
31,74,75,0,0
2,145,75,0,0
31,3,24,0,0
31,74,75,0,0
2,555,120,0,0
45,3,88,0,0
31,74,75,0,0
31,3,24,0,0
31,555,24,0,0
45,3,120,0,0
2,3,88,0,0
2,74,75,1,0
31,555,24,0,0
2,3,88,0,0
31,555,24,0,0
31,145,24,1,0
2,145,88,0,0
2,74,120,0,0
2,74,88,0,0
2,145,120,0,0
2,3,88,0,1
2,3,120,0,0
2,145,88,0,0
31,555,24,0,0
2,74,75,0,0
2,555,88,1,0
2,145,75,1,0
31,74,75,0,0
45,3,88,0,0
31,74,75,0,0
45,145,120,0,0
2,145,120,0,0
45,3,24,0,0
2,145,120,0,0
2,74,75,0,0
2,74,120,0,0
31,74,120,1,0
2,74,120,0,0
31,3,120,0,1
2,555,120,0,0
31,74,75,0,0
45,145,88,0,0
31,74,75,0,0
31,555,24,0,0
2,3,88,0,0
31,3,24,0,0
45,3,88,0,0
31,74,24,0,0
2,145,88,0,0
2,555,75,0,0
31,74,75,0,0
2,74,24,0,0
31,555,120,0,0
45,3,24,0,0
45,3,88,0,0
2,145,75,0,0
31,555,120,0,0
2,3,75,0,0
2,3,88,0,0
31,555,24,0,0
2,555,120,0,0
31,3,75,0,0
2,3,75,0,0
31,555,88,1,0
45,145,24,0,0
2,3,75,1,0
31,145,24,0,0
31,145,24,0,0
31,145,75,0,0
45,74,120,1,0
2,555,75,0,0
31,145,24,0,0
45,74,24,0,0
31,74,88,0,0
31,555,75,0,0
2,74,120,0,0
31,555,24,0,0
45,555,88,0,0
45,3,88,0,1
45,555,120,0,0
45,145,75,0,0
31,145,75,0,0
31,555,75,0,0
31,74,24,0,0
45,3,24,0,0
2,145,75,0,0
31,555,75,0,0
31,555,24,0,0
45,145,75,0,0
2,145,88,0,1
31,555,75,0,0
31,145,75,0,0
2,555,24,0,0
2,145,75,0,0
31,74,75,0,0
45,3,24,0,0
45,3,88,0,0
31,555,24,0,0
31,74,75,0,0
2,74,88,0,0
2,74,88,1,0
2,145,88,1,1
31,145,75,0,0
2,145,88,0,1
2,3,75,0,0
31,74,120,0,0
2,555,75,0,0
2,145,88,0,0
2,145,120,0,0
31,74,24,0,0
45,145,88,0,0
45,3,75,0,0
2,145,75,0,0
31,74,75,0,0
2,555,120,0,0
2,145,120,0,0
2,74,75,0,0
31,555,24,1,0
31,555,24,1,0
31,555,24,0,0
31,145,88,0,0
2,74,120,0,0
2,3,88,0,0
45,555,24,0,0
45,145,88,0,0
31,3,24,0,0
31,3,88,0,0
45,145,88,0,0
31,555,24,0,0
31,3,24,0,0
45,3,88,0,0
45,145,88,0,0
2,3,75,0,0
2,145,24,0,0
2,3,75,0,0
31,555,24,0,0
45,145,24,1,0
31,555,75,0,0
2,555,120,0,0
2,74,75,0,0
31,3,120,0,0
31,145,24,0,0
45,555,75,1,0
2,145,24,0,0
45,3,88,0,0
2,145,120,0,0
2,145,120,0,0
31,3,120,1,0
31,74,75,0,0
31,74,75,0,0
2,3,75,0,0
31,74,120,0,0
31,145,24,0,0
31,74,24,0,0
45,145,24,0,0
2,3,120,0,0
2,145,88,0,0
31,145,120,1,1
31,555,120,0,0
31,555,88,0,0
31,145,75,0,0
31,555,120,1,0
2,555,120,0,0
31,3,88,0,1
2,3,75,0,0
31,74,24,0,0
2,3,88,0,0
45,3,120,0,0
31,3,75,0,0
31,3,24,0,0
31,555,75,0,0
31,145,75,0,0
31,145,120,1,0
31,145,88,0,0
45,145,24,1,0
45,145,75,0,0
2,74,75,0,0
31,555,120,0,0
2,555,88,0,0
45,3,24,0,0
31,145,24,0,0
2,555,88,1,0
2,555,120,0,0
45,145,88,0,0
2,3,24,1,0
45,145,24,0,0
2,3,120,0,0
2,145,75,0,0
45,3,24,0,0
2,555,75,0,0
45,3,120,0,0
2,145,88,0,0
2,145,88,0,1
31,3,88,0,1
31,555,24,0,0
2,74,120,0,0
2,74,88,0,0
31,74,24,0,0
2,74,120,0,1
2,74,88,0,0
2,555,88,0,0
31,74,88,0,0
31,3,75,0,0
45,3,24,0,0
45,145,120,1,0
31,74,75,0,0
2,74,120,0,0
2,74,120,1,0
31,3,24,0,0
31,3,88,0,0
31,74,75,0,0
31,74,24,0,0
2,3,24,0,0
2,3,120,1,0
31,145,24,0,0
31,3,24,0,0
2,555,24,0,0
31,555,24,0,0
2,3,75,0,0
31,555,24,0,0
31,74,88,0,0
31,74,75,0,0
31,555,75,0,0
31,145,75,0,0
31,3,75,0,0
45,555,120,0,0
31,555,88,1,0
45,3,88,0,0
45,145,75,1,0
31,555,75,0,0
2,3,88,0,0
31,145,24,0,0
31,555,24,1,0
2,145,120,0,1
2,74,120,0,0
2,3,75,0,0
45,145,75,0,0
2,145,24,0,0
31,555,24,1,0
2,555,88,0,1
2,3,120,0,0
2,74,75,0,0
45,145,24,1,0
45,555,75,0,0
2,145,120,0,0
31,145,75,0,0
31,555,24,0,0
2,3,88,0,0
2,74,120,0,0
2,74,88,0,0
31,3,24,1,0
2,145,120,0,0
2,74,120,0,0
2,3,88,1,0
31,555,88,0,0
45,145,88,0,0
45,555,24,0,0
31,3,75,0,0
31,145,24,1,0
31,145,120,0,0
31,555,75,0,0
2,145,75,0,0
2,3,120,0,0
45,3,75,0,0
2,3,88,0,0
2,74,24,1,0
31,555,24,0,0
31,3,24,0,0
2,74,75,0,0
2,3,75,0,0
2,74,120,0,0
31,74,24,0,0
31,555,75,1,0
2,145,120,0,0
31,3,75,0,0
2,555,120,0,0
31,74,88,1,0
31,3,88,0,0
31,74,75,0,0
31,3,88,0,0
2,3,120,0,1
45,3,88,1,0
2,555,120,0,0
31,74,120,0,0
31,74,88,0,0
2,74,88,0,0
31,555,88,0,0
31,3,88,0,0
31,145,88,0,0
2,3,75,0,0
2,145,24,0,0
31,74,75,0,0
31,74,24,0,0
2,3,120,0,0
2,145,120,0,0
45,3,120,0,0
45,3,120,0,0
45,555,75,0,0
2,145,120,0,0
31,145,75,0,0
2,3,75,0,0
2,555,88,1,0
2,3,75,0,0
31,74,120,0,0
31,145,24,0,0
31,555,88,1,0
31,74,24,0,0
2,3,120,0,0
2,555,120,1,0
2,74,24,0,0
2,145,120,0,0
2,555,24,0,0
2,3,75,0,0
2,74,24,0,0
31,555,24,0,0
2,3,88,0,0
2,3,88,0,0
2,145,88,0,0
2,3,120,0,0
2,145,75,0,0
45,3,120,0,1
31,3,24,0,0
31,145,88,0,0
2,74,88,0,0
31,145,120,0,0
31,555,120,0,0
2,145,88,0,0
2,555,88,0,0
2,74,120,0,0
31,555,24,0,0
2,145,88,0,0
2,74,75,1,0
2,145,88,0,0
45,3,88,0,0
45,145,88,0,0
2,145,120,0,0
31,145,88,0,0
45,3,88,0,0
31,74,75,0,0
31,74,24,1,0
2,145,120,1,0
2,145,88,0,0
31,74,24,0,0
31,555,88,0,0
31,3,24,0,0
2,74,88,0,0
2,145,120,0,0
2,555,88,0,1
31,555,75,0,0
31,3,88,0,0
2,3,120,0,0
31,555,24,0,0
31,555,24,0,0
31,74,24,0,0
31,145,88,0,0
2,3,75,0,0
2,145,88,0,0
2,555,88,1,0
31,555,24,1,0
2,145,24,0,0
2,145,120,0,0
31,555,88,0,0
31,555,88,0,1
31,145,75,0,0
45,145,75,0,0
31,3,75,1,0
2,145,120,0,0
45,3,24,0,0
31,3,120,0,0
31,74,88,0,0
2,555,24,0,0
2,3,75,0,0
31,74,88,0,0
2,145,120,0,0
2,3,120,0,0
45,3,88,0,0
31,145,88,0,0
2,555,120,0,0
45,145,88,0,0
31,555,75,0,0
31,74,24,0,0
31,145,88,0,0
31,555,24,1,0
2,145,75,0,0
2,3,88,0,0
2,145,24,0,0
31,3,120,0,0
45,74,88,0,0
31,555,88,0,0
31,555,24,0,0
31,74,24,0,0
31,3,75,0,0
2,74,120,0,0
31,145,88,0,0
31,74,75,1,0
31,145,24,0,0
45,3,75,0,0
45,3,88,0,0
2,145,88,0,0
45,145,88,0,0
2,145,75,0,0
2,74,88,0,0
2,3,75,0,0
45,555,88,0,0
31,74,75,0,0
2,74,120,0,0
2,3,24,1,0
31,3,24,1,0
45,74,88,0,0
31,145,24,0,0
45,145,88,0,0
2,145,120,0,0
31,555,120,1,0
2,74,120,0,0
31,145,120,0,0
31,555,88,1,0
45,74,75,0,0
31,3,24,0,0
2,3,88,0,0
2,145,120,0,0
31,74,75,0,0
31,3,75,0,0
45,3,24,0,0
2,3,88,1,0
2,555,88,0,0
2,145,88,0,0
31,555,24,0,0
31,74,75,0,0
2,555,120,0,0
31,555,24,0,0
2,555,120,0,0
2,3,75,0,0
31,74,24,0,0
2,145,120,0,1
2,74,120,0,0
2,3,120,0,0
2,145,120,0,0
45,3,24,0,0
31,74,24,0,0
31,145,88,0,1
45,555,88,0,0
2,3,120,0,0
31,3,75,0,0
2,3,120,0,0
2,74,88,0,0
31,145,24,0,0
45,3,120,0,0
2,555,75,0,0
31,74,88,0,0
31,3,24,0,0
31,74,24,0,0
31,555,88,1,0
45,555,120,0,0
31,145,24,0,0
2,145,24,0,0
2,3,88,0,0
31,3,120,0,0
2,145,120,0,0
31,555,88,0,0
2,145,88,0,0
31,555,75,0,0
31,74,75,0,0
2,555,120,0,0
2,145,75,0,0
2,3,120,0,1
2,3,120,0,0
31,3,24,0,0
31,74,120,0,0
2,145,75,0,0
2,3,88,1,0
31,145,88,0,0
2,3,88,0,1
31,74,24,0,0
31,3,24,0,0
31,3,88,0,0
2,555,24,0,0
2,74,88,0,0
31,145,88,0,0
2,74,75,0,0
2,555,88,0,0
45,145,88,0,0
2,145,88,1,0
2,145,88,0,1
31,145,120,0,0
31,145,88,0,0
31,3,24,0,0
31,555,120,0,0
45,145,24,0,0
2,145,75,0,0
31,74,24,0,0
2,145,120,0,0
31,555,75,0,0
31,74,75,0,0
31,145,75,1,0
31,74,24,0,0
31,555,75,0,0
31,3,24,0,0
2,145,120,0,0
2,3,120,1,0
2,145,88,0,0
2,74,88,0,0
31,74,88,0,0
45,145,120,1,0
45,3,75,0,0
31,145,75,0,0
45,74,88,0,0
31,145,24,0,0
2,74,88,1,0
2,74,88,1,0
45,145,88,0,0
2,145,75,0,0
2,145,120,0,0
2,74,88,0,0
31,3,75,0,0
45,145,120,1,0
2,74,120,0,1
31,145,24,0,0
31,555,24,0,0
31,555,75,0,0
2,74,88,0,1
31,555,24,0,0
45,3,120,0,0
2,555,24,0,0
2,3,120,0,0
2,3,120,0,0
45,74,24,0,0
31,145,24,0,0
2,74,120,0,0
31,3,24,0,0
31,3,88,0,0
31,74,24,1,0
45,145,24,0,0
31,555,24,0,0
2,74,120,0,1
31,3,88,0,0
31,74,75,0,0
31,145,75,0,0
2,555,88,0,0
2,3,75,0,0
2,3,24,0,0
31,145,120,0,0
2,3,88,1,0
2,3,88,0,0
2,74,75,1,0
2,145,120,0,0
2,3,120,0,0
31,74,24,0,0
45,145,88,0,0
45,3,88,0,0
45,145,88,1,0
45,3,88,0,0
31,555,24,0,0
31,555,24,0,0
2,3,120,0,1
2,555,120,0,0
31,74,24,0,0
31,145,75,0,0
2,74,88,0,0
31,555,24,0,0
31,3,88,0,1
31,555,24,0,0
2,555,120,0,0
2,3,88,0,0
31,145,75,0,0
2,3,88,0,0
31,3,120,0,0
31,74,75,0,0
31,74,75,0,0
31,3,75,0,0
31,74,24,0,0
45,3,88,0,0
31,3,24,0,0
2,74,75,0,0
31,555,75,1,0
45,3,88,0,0
2,555,88,0,0
2,555,120,0,1
31,555,75,0,0
31,145,24,0,0
45,74,120,0,0
31,555,75,0,0
2,555,120,0,0
31,74,88,1,0
2,145,88,0,0
31,555,75,0,0
2,145,120,0,0
31,145,24,0,0
2,3,88,0,0
31,74,88,0,0
2,145,75,0,0
2,555,120,0,1
2,145,120,0,0
2,74,88,0,0
2,3,88,0,0
31,145,24,0,0
31,555,24,0,0
31,74,24,0,0
31,74,88,0,0
2,3,120,1,0
31,555,24,0,0
31,555,75,0,0
31,3,120,0,0
45,74,75,0,0
31,145,75,0,0
31,555,24,0,0
31,74,75,0,0
2,3,120,0,0
2,145,120,0,0
31,555,24,0,0
31,74,88,0,0
2,74,75,1,0
31,555,120,0,0
31,3,75,0,0
45,3,24,0,0
2,555,88,0,0
31,555,75,0,0
2,74,88,0,0
45,3,88,0,0
2,74,24,0,0
2,3,120,0,1
45,145,120,0,0
2,74,120,0,0
2,555,24,0,0
2,145,120,0,0
31,555,24,0,0
2,74,88,0,0
2,145,120,0,0
2,145,75,0,0
2,74,75,0,0
2,555,75,0,0
2,145,88,0,0
2,74,75,0,0
2,3,120,0,1
31,74,75,0,0
2,555,120,0,0
45,145,24,0,0
45,3,24,0,0
2,3,75,0,0
45,145,88,0,1
2,555,120,0,0
31,145,88,0,0
45,74,88,0,1
45,3,120,1,0
31,74,75,0,0
2,3,88,0,1
31,555,24,0,0
45,3,88,0,0
31,555,24,0,0
31,3,75,0,0
2,3,120,0,1
31,3,24,1,0
45,3,24,0,0
2,555,75,0,0
2,145,75,1,0
31,555,75,0,0
2,3,75,0,0
2,74,24,0,0
31,145,75,0,0
45,145,120,0,0
2,74,88,0,0
2,145,88,0,1
31,3,24,0,0
31,145,75,1,0
31,145,75,0,0
31,555,120,0,1
31,74,24,0,0
2,555,120,0,0
2,145,88,0,0
2,3,75,1,0
31,555,24,0,0
2,3,75,0,0
31,145,75,0,0
2,555,120,0,0
2,555,75,0,0
31,3,75,1,0
2,555,75,0,0
45,145,88,0,0
2,145,120,0,0
2,74,120,0,0
31,74,24,0,0
45,145,88,0,0
31,3,88,0,0
31,74,24,0,0
2,145,88,0,0
31,555,120,0,0
45,3,75,0,0
45,145,88,0,0
45,3,24,0,0
2,3,24,0,0
2,3,75,0,0
2,3,120,0,0
45,3,75,0,0
45,3,120,1,0
2,145,75,0,0
2,145,75,0,0
31,3,24,0,0
45,555,24,0,0
45,145,120,0,0
2,3,120,0,0
45,145,88,0,0
2,145,88,0,0
2,74,88,0,1
2,145,75,0,0
2,74,24,0,0
45,145,88,0,0
31,74,24,0,0
31,74,88,0,0
31,555,24,0,0
31,74,75,0,0
45,74,88,0,0
2,3,88,0,0
45,145,24,0,0
2,3,75,1,0
2,145,88,1,0
45,145,24,0,0
31,555,120,0,0
45,145,88,0,0
2,145,88,0,0
31,145,75,1,0
2,3,120,1,0
31,74,120,0,0
31,555,88,0,0
31,74,88,0,0
45,145,88,0,0
2,74,88,0,0
31,3,75,0,0
31,145,88,0,0
2,3,120,0,0
2,145,120,0,0
31,555,88,1,0
2,145,88,0,0
2,3,120,0,0
31,74,75,0,0
2,3,88,0,0
2,3,88,0,0
45,145,88,0,0
31,74,24,1,0
2,145,75,0,0
2,555,88,0,0
31,145,24,0,0
2,145,75,0,0
2,3,88,0,0
45,3,88,0,0
2,3,120,0,0
31,555,75,0,0
45,145,120,1,0
31,145,88,0,0
2,3,88,0,0
2,145,24,0,0
2,3,120,1,0
2,3,75,0,0
31,145,75,0,0
2,145,24,0,0
2,555,88,0,0
45,3,24,0,0
2,3,75,0,0
31,74,24,0,0
31,555,88,0,0
2,555,120,0,0
45,555,88,0,0
31,145,88,0,0
31,74,88,0,0
2,74,88,0,0
2,74,88,1,1
45,3,24,0,0
2,3,75,0,0
45,555,120,0,0
2,555,88,0,0
31,74,75,1,0
31,555,24,1,0
31,145,24,0,0
2,145,120,0,0
45,3,24,0,0
2,145,120,0,0
2,145,120,0,0
45,145,88,0,0
31,555,24,0,0
31,145,120,0,0
31,74,24,0,0
2,555,88,0,0
31,555,88,0,1
2,3,120,1,0
31,3,24,0,0
31,3,24,0,0
45,555,88,0,0
31,555,75,0,0
2,145,120,0,0
2,145,88,0,0
2,145,24,0,0
31,3,24,0,0
2,145,88,0,0
2,74,88,0,0
31,555,75,0,0
45,145,75,0,0
2,3,75,0,0
2,3,120,0,0
2,3,24,0,0
31,3,88,0,0
45,555,120,0,0
45,145,24,0,0
2,145,24,1,0
2,74,120,1,0
2,145,120,1,1
2,3,24,0,0
2,74,24,0,0
31,74,88,0,0
31,74,88,0,0
31,74,75,0,0
45,3,24,0,0
31,555,24,0,0
45,3,88,0,0
31,3,75,0,0
2,145,120,0,0
45,145,88,0,0
2,3,120,0,0
2,74,120,0,0
31,145,75,0,0
45,555,24,1,0
2,145,88,0,0
2,3,24,1,0
31,555,75,0,0
2,74,75,0,0
2,3,120,0,0
2,74,88,0,0
31,555,24,0,0
31,3,88,0,0
45,74,75,0,0
2,145,88,0,0
31,74,75,0,0
31,74,75,0,0
45,74,88,0,0
2,74,120,0,0
31,555,24,0,0
2,145,75,0,0
45,3,24,0,0
31,555,24,0,0
2,3,88,0,0
45,555,24,0,0
31,555,24,0,0
31,555,120,1,0
31,74,75,0,0
45,145,88,0,0
31,3,75,0,0
31,555,75,0,0
2,555,75,0,0
45,145,75,0,0
2,145,88,0,1
2,145,120,0,0
2,145,75,0,0
31,74,120,0,0
2,3,75,0,0
31,74,88,1,0
2,3,75,0,0
31,555,88,1,0
31,555,24,0,0
31,555,24,0,0
45,3,24,0,0
2,555,120,0,0
2,74,120,0,0
31,74,24,0,0
2,3,120,0,0
2,3,120,0,0
2,3,88,0,0
2,555,88,0,0
2,145,120,0,0
2,74,88,0,0
45,145,88,0,0
2,145,88,0,0
45,145,120,0,0
31,74,75,0,0
31,74,24,1,0
45,74,88,0,0
45,145,120,0,1
2,74,88,0,0
31,555,24,0,0
31,3,88,0,0
31,74,75,0,0
2,555,120,0,0
2,555,88,0,0
45,3,24,0,0
31,74,120,0,0
2,145,88,1,0
2,74,75,0,0
31,74,75,0,0
31,555,75,0,0
2,3,75,0,0
31,74,75,1,0
31,74,88,1,0
2,555,24,0,0
2,555,88,1,0
31,555,24,0,0
45,145,120,0,0
31,145,24,0,0
31,145,24,0,0
45,145,88,1,1
2,555,88,0,0
2,145,75,0,0
45,3,24,0,0
45,145,88,0,0
2,145,120,1,0
45,3,120,0,0
45,145,88,0,0
31,555,88,1,0
31,74,75,0,0
31,74,24,0,0
45,145,24,0,0
2,145,120,0,0
2,145,75,1,0
2,3,120,0,0
31,3,24,0,0
45,74,88,1,0
31,145,75,0,0
45,145,120,0,0
45,74,88,0,1
31,555,24,0,0
31,74,24,0,0
31,74,24,0,0
31,3,24,0,0
31,555,75,0,0
31,3,120,0,0
2,145,120,0,0
2,74,88,0,0
31,74,75,0,0
31,3,24,0,0
31,145,75,1,0
2,145,75,1,0
2,145,120,0,1
31,555,24,0,0
45,74,75,0,0
2,3,75,0,0
31,555,88,0,0
31,555,88,0,0
2,3,88,0,0
31,145,75,0,0
31,74,75,1,0
2,555,120,1,0
31,74,88,1,0
31,555,24,0,0
2,74,120,0,0
45,74,75,0,0
31,145,75,0,0
2,74,120,0,0
2,74,88,0,0
2,74,88,0,0
31,145,75,1,0
45,3,75,0,0
45,74,120,0,1
31,3,120,0,0
31,74,88,0,0
31,555,24,0,0
2,145,88,0,0
31,145,88,0,0
31,145,24,0,0
31,145,120,0,0
2,145,120,0,0
2,3,75,0,0
45,145,88,0,0
2,3,24,0,0
31,145,24,0,0
45,3,88,0,0
45,145,24,1,0
31,74,24,0,0
2,3,120,0,0
31,145,75,0,0
31,555,24,0,0
2,555,120,1,0
31,555,75,1,0
45,145,120,0,0
2,555,120,0,0
2,74,120,0,0
31,145,120,0,0
2,74,120,0,0
2,145,75,0,0
2,555,120,0,0
45,555,88,0,0
2,145,88,0,0
2,555,88,0,0
45,555,120,0,0
45,145,75,0,0
2,555,88,0,0
31,74,24,1,0
2,555,88,0,0
31,3,88,0,0
2,3,75,0,0
45,145,120,0,0
31,145,75,0,0
31,145,24,0,0
2,145,120,0,0
2,145,120,0,0
2,3,75,0,0
31,74,24,0,0
2,3,120,0,0
45,74,120,0,0
2,3,88,1,0
45,145,88,0,0
31,555,75,0,0
2,555,75,1,0
2,3,88,0,0
31,145,75,0,0
2,145,120,0,0
31,74,24,0,0
45,555,24,0,0
31,555,75,0,0
2,3,88,0,0
2,74,75,0,0
31,74,75,0,0
2,3,24,0,0
2,145,120,0,0
45,145,88,0,0
45,3,75,0,0
31,74,120,0,0
2,555,120,0,0
2,3,120,0,0
2,145,88,0,1
45,3,88,0,0
45,74,88,0,0
31,555,75,0,0
2,74,120,1,0
45,145,75,0,0
45,3,24,0,0
2,555,75,0,0
31,3,75,0,0
31,74,75,0,0
2,145,120,0,0
2,145,24,0,0
45,145,75,0,0
31,555,24,1,0
31,3,24,0,0
45,145,75,0,0
45,145,88,0,0
31,3,24,0,0
31,74,75,0,0
31,74,24,0,0
2,3,24,0,0
31,555,75,0,0
31,3,88,0,0
45,555,120,0,0
45,74,75,0,0
31,74,24,0,0
31,555,24,0,0
45,145,24,0,0
2,145,120,0,0
2,555,120,0,0
2,555,75,0,0
31,3,88,0,0
45,145,88,0,0
45,3,88,0,0
2,145,120,0,0
31,555,88,0,0
2,74,88,1,0
2,145,120,0,0
31,74,88,0,0
2,145,120,0,0
2,3,88,0,0
2,555,88,0,0
45,145,24,0,0
2,555,120,0,0
31,555,24,0,0
31,555,88,0,0
31,3,88,0,0
31,74,75,0,0
31,555,24,0,0
31,3,88,0,0
31,145,88,0,0
2,3,75,0,0
31,145,24,0,0
45,145,24,0,0
31,145,24,1,0
2,3,88,0,0
2,145,88,1,0
31,555,88,1,1
31,74,75,0,0
2,145,88,0,0
2,145,24,0,0
31,145,120,0,0
31,145,24,0,0
2,145,75,0,0
2,145,24,0,0
31,3,75,0,0
31,145,88,1,0
31,555,24,0,0
31,145,75,0,0
2,3,75,0,0
2,145,75,0,0
31,74,88,0,1
45,3,75,0,0
31,74,24,0,0
2,74,88,0,0
31,555,24,0,0
31,555,88,0,0
31,74,24,1,0
31,74,88,1,0
2,3,120,0,0
31,3,88,0,0
45,145,75,0,0
31,555,75,0,0
2,3,88,0,0
2,3,75,0,0
2,145,75,0,0
45,3,88,0,0
2,145,75,0,0
31,74,75,0,0
31,555,24,1,0
45,3,75,0,0
2,3,120,1,0
31,555,75,0,0
2,74,88,0,0
45,145,88,0,0
31,3,88,0,0
31,145,75,0,0
45,145,88,0,0
31,74,24,0,0
45,3,75,0,0
31,145,24,0,0
2,74,120,0,0
2,3,88,0,0
31,145,88,0,0
2,145,120,0,0
2,74,120,0,0
31,74,24,0,0
31,74,88,0,0
31,145,120,1,0
2,3,120,1,0
2,555,120,0,0
31,555,88,0,0
2,555,75,1,0
31,74,88,0,0
2,555,120,1,0
31,555,24,0,0
45,3,120,1,0
31,74,24,0,0
2,145,120,0,0
31,74,88,0,0
45,145,120,0,0
45,145,75,0,0
2,3,120,0,0
2,3,75,0,0
31,145,88,0,0
31,74,24,0,0
45,145,120,0,0
2,3,88,1,0
31,74,24,0,0
31,74,24,0,0
2,3,75,0,0
2,74,88,0,0
45,74,75,0,0
31,74,24,0,0
2,74,75,0,0
2,145,120,0,1
45,145,88,0,0
2,3,75,0,0
45,3,120,0,0
2,145,120,0,1
31,555,75,0,0
2,74,120,0,0
2,74,75,0,0
2,145,75,0,0
45,3,88,0,0
31,3,24,0,0
2,3,88,1,1
31,145,24,0,0
31,3,75,0,0
2,555,75,0,0
2,555,120,0,0
2,555,120,0,0
31,3,75,0,0
2,74,120,0,0
2,3,120,0,0
31,145,75,0,0
31,74,88,0,0
45,145,75,0,0
45,145,88,0,1
31,3,75,0,0
2,145,120,0,0
45,145,88,0,0
45,145,24,0,0
31,145,24,1,0
45,145,88,0,0
31,145,88,1,0
2,555,120,0,0
31,555,88,0,0
2,555,88,0,0
2,555,120,0,0
2,145,88,0,0
31,3,24,0,0
2,74,88,0,0
2,145,75,0,0
2,555,88,1,0
45,3,88,0,0
2,3,88,0,0
31,555,88,0,0
2,74,88,0,0
2,145,120,0,0
