A,B_star,C_star
31,145.0,24.0
31,555.0,24.0
45,145.0,24.0
45,145.0,88.0
31,145.0,75.0
31,555.0,88.0
2,145.0,120.0
2,555.0,75.0
31,74.0,
31,555.0,75.0
31,555.0,
31,3.0,24.0
45,145.0,24.0
2,3.0,88.0
31,145.0,120.0
31,145.0,88.0
2,,88.0
2,555.0,120.0
2,74.0,120.0
45,3.0,75.0
2,555.0,120.0
31,555.0,24.0
31,145.0,88.0
31,,88.0
45,3.0,24.0
2,555.0,120.0
31,3.0,24.0
31,74.0,24.0
31,145.0,24.0
2,3.0,120.0
2,555.0,120.0
45,,120.0
31,3.0,24.0
31,74.0,120.0
31,555.0,24.0
31,3.0,120.0
45,3.0,120.0
45,145.0,88.0
2,3.0,88.0
45,145.0,24.0
2,555.0,88.0
2,74.0,120.0
2,555.0,120.0
31,555.0,120.0
31,74.0,24.0
2,74.0,88.0
45,3.0,120.0
31,3.0,75.0
31,555.0,75.0
2,74.0,75.0
31,555.0,75.0
31,145.0,75.0
31,145.0,24.0
45,3.0,75.0
31,74.0,24.0
2,145.0,120.0
31,555.0,88.0
2,145.0,120.0
31,3.0,24.0
45,3.0,24.0
2,145.0,75.0
2,145.0,75.0
2,3.0,75.0
45,145.0,120.0
2,555.0,75.0
2,555.0,75.0
45,145.0,88.0
31,3.0,24.0
31,3.0,75.0
31,555.0,75.0
31,74.0,24.0
31,145.0,24.0
31,145.0,88.0
2,74.0,120.0
31,74.0,24.0
2,555.0,75.0
2,145.0,120.0
31,145.0,120.0
45,145.0,88.0
31,145.0,24.0
31,555.0,75.0
2,555.0,75.0
2,555.0,120.0
31,555.0,75.0
2,555.0,88.0
2,74.0,24.0
45,3.0,75.0
2,3.0,75.0
31,145.0,24.0
2,3.0,75.0
31,145.0,24.0
2,555.0,88.0
31,145.0,24.0
45,145.0,88.0
2,,120.0
31,74.0,88.0
2,145.0,75.0
31,3.0,24.0
2,3.0,24.0
31,555.0,24.0
2,145.0,120.0
2,3.0,24.0
2,145.0,120.0
45,3.0,88.0
31,74.0,24.0
2,145.0,88.0
2,145.0,120.0
2,3.0,120.0
2,145.0,120.0
31,74.0,24.0
31,74.0,24.0
2,555.0,120.0
2,3.0,75.0
31,555.0,
31,555.0,24.0
2,3.0,120.0
2,555.0,120.0
45,145.0,88.0
45,145.0,88.0
2,3.0,88.0
31,555.0,
31,555.0,75.0
2,3.0,75.0
31,3.0,24.0
2,145.0,75.0
45,3.0,24.0
2,145.0,120.0
2,145.0,88.0
31,74.0,75.0
2,3.0,88.0
31,555.0,88.0
31,74.0,88.0
2,,120.0
2,3.0,75.0
2,145.0,75.0
2,3.0,75.0
45,3.0,88.0
31,145.0,75.0
2,145.0,120.0
2,3.0,88.0
45,3.0,75.0
31,145.0,120.0
2,145.0,88.0
31,74.0,
31,555.0,24.0
31,555.0,75.0
31,3.0,120.0
31,555.0,24.0
31,555.0,24.0
45,145.0,120.0
45,3.0,88.0
2,3.0,120.0
31,555.0,24.0
2,74.0,75.0
31,555.0,24.0
2,3.0,88.0
31,555.0,
31,74.0,75.0
31,145.0,75.0
2,3.0,120.0
31,74.0,75.0
2,145.0,88.0
31,555.0,75.0
2,145.0,88.0
45,3.0,120.0
2,145.0,120.0
31,145.0,75.0
45,3.0,88.0
31,555.0,75.0
45,555.0,75.0
2,555.0,88.0
31,555.0,88.0
45,145.0,120.0
2,3.0,88.0
2,3.0,75.0
31,555.0,120.0
2,555.0,88.0
2,145.0,88.0
31,74.0,88.0
2,555.0,120.0
45,145.0,24.0
2,145.0,120.0
31,555.0,24.0
2,555.0,24.0
2,74.0,120.0
31,145.0,88.0
31,74.0,88.0
2,145.0,88.0
31,3.0,24.0
45,74.0,88.0
45,555.0,120.0
45,3.0,75.0
2,74.0,120.0
2,,120.0
31,3.0,24.0
2,3.0,75.0
2,555.0,88.0
2,3.0,120.0
31,74.0,75.0
45,3.0,88.0
2,3.0,120.0
31,145.0,75.0
45,3.0,24.0
31,555.0,75.0
31,,88.0
45,145.0,75.0
45,145.0,120.0
2,145.0,75.0
45,555.0,
2,145.0,88.0
31,74.0,88.0
2,74.0,75.0
2,145.0,75.0
45,145.0,88.0
31,74.0,24.0
31,74.0,24.0
45,145.0,88.0
31,74.0,24.0
2,145.0,120.0
45,145.0,88.0
2,3.0,120.0
2,555.0,88.0
2,555.0,120.0
45,3.0,75.0
31,555.0,88.0
31,74.0,88.0
31,74.0,120.0
2,74.0,88.0
45,3.0,120.0
31,3.0,24.0
2,145.0,88.0
2,145.0,120.0
2,555.0,
31,74.0,75.0
31,555.0,75.0
2,3.0,75.0
45,,120.0
45,3.0,75.0
31,3.0,75.0
2,145.0,24.0
45,145.0,24.0
45,555.0,75.0
2,145.0,120.0
31,555.0,24.0
31,74.0,75.0
2,3.0,120.0
31,145.0,24.0
2,3.0,88.0
45,3.0,75.0
2,74.0,
45,555.0,120.0
45,145.0,88.0
2,145.0,120.0
2,145.0,88.0
2,,120.0
45,74.0,88.0
2,555.0,88.0
31,74.0,24.0
31,145.0,120.0
31,3.0,88.0
31,555.0,120.0
45,3.0,88.0
45,3.0,120.0
45,145.0,88.0
45,3.0,24.0
31,145.0,75.0
31,74.0,75.0
2,555.0,
2,,120.0
31,555.0,75.0
45,145.0,75.0
2,555.0,88.0
2,145.0,88.0
2,555.0,120.0
31,74.0,120.0
2,3.0,24.0
31,74.0,75.0
45,3.0,120.0
31,3.0,24.0
31,555.0,24.0
2,74.0,75.0
2,74.0,24.0
45,145.0,88.0
45,3.0,75.0
31,555.0,24.0
31,555.0,75.0
2,555.0,88.0
31,3.0,24.0
31,145.0,75.0
2,74.0,88.0
2,145.0,24.0
31,555.0,120.0
2,555.0,120.0
2,74.0,75.0
31,3.0,75.0
2,145.0,88.0
2,555.0,120.0
31,145.0,24.0
2,145.0,88.0
31,3.0,75.0
2,3.0,120.0
2,145.0,24.0
45,3.0,75.0
2,3.0,120.0
31,3.0,75.0
45,3.0,88.0
31,3.0,75.0
2,74.0,120.0
45,,120.0
31,145.0,75.0
31,74.0,120.0
2,3.0,24.0
31,145.0,24.0
2,74.0,120.0
45,145.0,120.0
45,3.0,88.0
45,145.0,24.0
45,3.0,24.0
45,3.0,120.0
31,145.0,120.0
2,74.0,120.0
31,145.0,75.0
31,555.0,88.0
31,555.0,120.0
31,74.0,24.0
45,555.0,24.0
31,145.0,24.0
31,74.0,24.0
2,3.0,88.0
31,3.0,24.0
2,145.0,75.0
31,,120.0
31,555.0,120.0
45,3.0,120.0
45,145.0,88.0
45,3.0,88.0
2,3.0,88.0
2,3.0,75.0
2,145.0,120.0
2,145.0,120.0
31,,88.0
31,555.0,
2,74.0,88.0
2,145.0,120.0
2,,88.0
2,74.0,75.0
45,555.0,120.0
2,,120.0
31,74.0,75.0
45,74.0,75.0
31,74.0,24.0
2,145.0,120.0
2,555.0,120.0
31,74.0,
45,3.0,120.0
2,145.0,120.0
31,145.0,24.0
45,3.0,120.0
2,3.0,75.0
2,3.0,120.0
45,145.0,24.0
45,3.0,75.0
31,145.0,88.0
31,145.0,24.0
31,555.0,88.0
2,3.0,75.0
2,,88.0
31,3.0,24.0
45,3.0,88.0
31,3.0,88.0
2,145.0,120.0
2,74.0,88.0
45,145.0,75.0
31,555.0,24.0
31,145.0,88.0
45,145.0,75.0
31,145.0,88.0
31,145.0,88.0
2,3.0,120.0
2,555.0,120.0
2,74.0,75.0
31,555.0,24.0
2,74.0,120.0
31,3.0,75.0
2,3.0,88.0
2,555.0,120.0
31,74.0,24.0
45,3.0,24.0
31,74.0,24.0
45,145.0,75.0
31,555.0,88.0
2,145.0,75.0
2,,88.0
45,3.0,88.0
45,145.0,75.0
45,3.0,24.0
31,74.0,120.0
45,,88.0
2,74.0,88.0
31,145.0,24.0
31,,120.0
31,555.0,24.0
31,74.0,120.0
45,3.0,120.0
45,145.0,24.0
2,145.0,120.0
31,3.0,75.0
45,145.0,24.0
31,74.0,75.0
45,74.0,24.0
45,145.0,24.0
31,145.0,88.0
31,74.0,
45,3.0,88.0
31,555.0,75.0
2,3.0,75.0
2,74.0,120.0
45,555.0,75.0
31,3.0,75.0
2,145.0,24.0
2,145.0,120.0
31,3.0,75.0
31,555.0,24.0
31,145.0,24.0
45,145.0,24.0
31,555.0,24.0
45,,88.0
2,555.0,120.0
2,3.0,120.0
31,145.0,24.0
45,74.0,120.0
31,555.0,75.0
31,145.0,75.0
2,3.0,120.0
45,145.0,75.0
31,74.0,75.0
31,3.0,24.0
2,3.0,120.0
31,74.0,24.0
45,555.0,88.0
31,3.0,24.0
45,145.0,24.0
45,3.0,75.0
31,74.0,24.0
31,74.0,
31,145.0,24.0
31,3.0,24.0
31,3.0,24.0
45,145.0,88.0
31,555.0,88.0
31,74.0,24.0
31,145.0,24.0
31,555.0,
31,74.0,88.0
2,3.0,75.0
2,145.0,88.0
2,145.0,88.0
2,3.0,88.0
2,,120.0
2,3.0,120.0
2,74.0,75.0
2,74.0,88.0
2,145.0,88.0
31,555.0,24.0
2,74.0,75.0
31,74.0,24.0
31,555.0,24.0
31,555.0,75.0
45,145.0,24.0
31,74.0,120.0
31,555.0,24.0
31,3.0,24.0
2,74.0,
45,145.0,88.0
31,74.0,75.0
2,555.0,120.0
31,555.0,88.0
31,74.0,75.0
2,3.0,120.0
2,3.0,120.0
2,74.0,120.0
45,74.0,75.0
45,3.0,120.0
2,145.0,88.0
31,555.0,24.0
2,3.0,24.0
45,3.0,120.0
2,3.0,88.0
45,3.0,24.0
31,74.0,75.0
2,74.0,88.0
2,145.0,88.0
45,,88.0
31,555.0,88.0
45,3.0,75.0
45,3.0,88.0
31,3.0,24.0
31,3.0,75.0
2,3.0,120.0
31,74.0,24.0
31,3.0,24.0
31,74.0,75.0
2,3.0,120.0
31,555.0,75.0
2,3.0,88.0
45,555.0,88.0
31,,88.0
2,74.0,120.0
2,74.0,24.0
31,3.0,88.0
2,145.0,88.0
2,555.0,120.0
2,145.0,75.0
31,74.0,
2,,88.0
2,74.0,
2,555.0,
2,74.0,88.0
2,74.0,88.0
45,,120.0
31,555.0,
31,145.0,24.0
45,3.0,75.0
2,3.0,88.0
2,145.0,120.0
2,145.0,24.0
2,145.0,88.0
2,145.0,120.0
45,145.0,88.0
31,555.0,24.0
2,145.0,88.0
2,145.0,120.0
2,74.0,120.0
45,3.0,88.0
2,74.0,24.0
45,74.0,88.0
31,74.0,24.0
31,555.0,24.0
2,3.0,120.0
31,74.0,24.0
2,555.0,
31,555.0,24.0
31,555.0,120.0
2,74.0,
45,3.0,24.0
31,74.0,75.0
31,74.0,75.0
2,555.0,88.0
2,555.0,120.0
31,555.0,24.0
2,3.0,88.0
2,74.0,75.0
45,145.0,75.0
45,74.0,88.0
31,3.0,75.0
2,145.0,75.0
45,145.0,24.0
45,3.0,24.0
45,145.0,24.0
2,555.0,75.0
31,145.0,75.0
2,555.0,75.0
31,74.0,75.0
31,74.0,24.0
2,3.0,120.0
2,3.0,75.0
2,74.0,24.0
2,555.0,88.0
31,74.0,24.0
31,145.0,120.0
31,145.0,88.0
31,145.0,88.0
2,145.0,24.0
2,74.0,88.0
2,555.0,24.0
2,555.0,120.0
31,,88.0
2,74.0,24.0
2,145.0,120.0
2,3.0,120.0
2,74.0,75.0
2,555.0,120.0
2,145.0,88.0
31,555.0,75.0
31,145.0,24.0
2,74.0,
45,145.0,24.0
2,3.0,88.0
2,74.0,24.0
2,555.0,75.0
2,74.0,120.0
2,74.0,120.0
31,145.0,75.0
2,145.0,75.0
2,555.0,88.0
2,74.0,24.0
45,74.0,88.0
31,3.0,75.0
31,555.0,88.0
45,74.0,88.0
31,145.0,24.0
2,74.0,24.0
45,555.0,24.0
2,74.0,120.0
2,145.0,120.0
2,145.0,88.0
31,74.0,24.0
2,74.0,120.0
45,,
45,145.0,88.0
2,3.0,120.0
31,145.0,75.0
2,145.0,88.0
2,555.0,75.0
2,3.0,120.0
31,555.0,24.0
31,74.0,120.0
31,145.0,24.0
2,555.0,120.0
45,555.0,75.0
31,3.0,24.0
2,145.0,120.0
31,3.0,75.0
31,74.0,75.0
2,3.0,75.0
31,74.0,24.0
31,555.0,88.0
45,3.0,120.0
31,3.0,24.0
31,74.0,75.0
31,555.0,75.0
31,74.0,24.0
2,145.0,88.0
2,145.0,24.0
2,3.0,88.0
31,555.0,24.0
31,145.0,88.0
2,555.0,88.0
31,555.0,
2,555.0,75.0
31,3.0,24.0
31,145.0,75.0
45,3.0,88.0
2,3.0,24.0
31,74.0,88.0
45,74.0,24.0
2,145.0,75.0
2,555.0,120.0
31,555.0,88.0
31,555.0,24.0
31,74.0,24.0
31,145.0,75.0
45,3.0,75.0
45,3.0,75.0
31,555.0,88.0
31,74.0,75.0
31,74.0,75.0
31,74.0,88.0
2,145.0,120.0
2,74.0,88.0
2,74.0,120.0
2,555.0,24.0
2,145.0,75.0
45,,88.0
31,145.0,75.0
45,3.0,120.0
31,555.0,24.0
31,555.0,24.0
2,555.0,120.0
45,145.0,88.0
2,3.0,88.0
2,74.0,75.0
45,74.0,88.0
45,145.0,75.0
2,3.0,120.0
2,74.0,75.0
2,145.0,24.0
45,145.0,24.0
31,74.0,88.0
45,3.0,88.0
45,74.0,24.0
45,3.0,24.0
45,74.0,88.0
45,74.0,88.0
31,555.0,75.0
2,3.0,120.0
31,145.0,120.0
31,555.0,75.0
2,3.0,75.0
2,145.0,24.0
31,74.0,88.0
2,145.0,120.0
2,145.0,120.0
45,145.0,88.0
2,74.0,24.0
31,555.0,24.0
2,145.0,75.0
31,3.0,75.0
2,145.0,120.0
2,74.0,120.0
45,555.0,75.0
31,74.0,24.0
31,3.0,75.0
31,74.0,24.0
2,74.0,120.0
2,3.0,75.0
31,145.0,75.0
2,,88.0
31,74.0,24.0
45,555.0,120.0
45,3.0,24.0
2,555.0,120.0
31,145.0,24.0
2,3.0,75.0
31,,88.0
45,145.0,88.0
2,3.0,88.0
31,555.0,75.0
31,555.0,24.0
2,555.0,75.0
2,145.0,120.0
45,,88.0
2,,120.0
31,3.0,120.0
2,3.0,75.0
45,145.0,120.0
31,3.0,120.0
45,74.0,88.0
2,3.0,75.0
2,3.0,75.0
31,555.0,75.0
31,74.0,120.0
31,74.0,24.0
2,,88.0
2,145.0,120.0
31,,120.0
31,145.0,24.0
2,555.0,88.0
45,3.0,120.0
31,3.0,75.0
31,3.0,75.0
31,74.0,88.0
2,74.0,
31,145.0,75.0
31,555.0,24.0
31,145.0,88.0
31,555.0,75.0
2,3.0,120.0
31,555.0,24.0
2,3.0,88.0
2,3.0,120.0
2,145.0,120.0
31,145.0,24.0
2,3.0,75.0
31,555.0,75.0
2,145.0,75.0
2,74.0,75.0
45,3.0,120.0
2,145.0,120.0
2,3.0,88.0
2,74.0,88.0
45,3.0,75.0
31,145.0,75.0
2,145.0,88.0
2,3.0,120.0
2,145.0,120.0
45,3.0,88.0
2,145.0,75.0
45,145.0,88.0
2,,120.0
31,74.0,24.0
2,74.0,75.0
2,145.0,120.0
31,145.0,24.0
2,3.0,75.0
2,74.0,88.0
31,74.0,24.0
45,145.0,120.0
31,74.0,120.0
2,145.0,88.0
45,145.0,88.0
2,555.0,
31,3.0,75.0
31,555.0,24.0
31,74.0,24.0
31,145.0,24.0
2,145.0,120.0
2,3.0,120.0
45,3.0,75.0
31,555.0,
31,555.0,75.0
2,555.0,88.0
45,145.0,120.0
31,145.0,75.0
31,3.0,24.0
2,3.0,120.0
31,555.0,88.0
31,145.0,75.0
2,3.0,88.0
2,145.0,88.0
2,145.0,120.0
45,145.0,120.0
31,3.0,120.0
31,555.0,75.0
45,3.0,88.0
45,145.0,88.0
31,74.0,24.0
31,74.0,24.0
2,555.0,88.0
31,3.0,120.0
31,74.0,24.0
2,555.0,120.0
31,74.0,24.0
2,555.0,120.0
31,555.0,88.0
45,74.0,88.0
31,74.0,
2,145.0,88.0
31,74.0,75.0
2,3.0,75.0
2,145.0,120.0
31,145.0,120.0
45,3.0,75.0
31,74.0,88.0
45,145.0,24.0
31,74.0,24.0
45,3.0,75.0
31,145.0,88.0
31,74.0,24.0
31,555.0,75.0
31,3.0,120.0
31,3.0,88.0
45,145.0,88.0
45,3.0,88.0
45,3.0,24.0
2,,120.0
31,145.0,88.0
2,3.0,88.0
2,145.0,120.0
2,74.0,75.0
31,555.0,
31,555.0,24.0
31,74.0,24.0
31,3.0,24.0
2,3.0,88.0
31,555.0,24.0
2,145.0,120.0
45,3.0,88.0
31,74.0,88.0
45,145.0,24.0
2,145.0,75.0
2,555.0,88.0
45,3.0,88.0
31,3.0,75.0
2,3.0,120.0
31,145.0,24.0
2,3.0,75.0
45,3.0,120.0
45,3.0,24.0
2,3.0,120.0
45,145.0,88.0
31,74.0,88.0
45,145.0,88.0
31,145.0,120.0
2,,120.0
2,145.0,120.0
31,74.0,75.0
2,74.0,
31,3.0,24.0
31,145.0,75.0
2,74.0,88.0
2,,88.0
2,3.0,75.0
45,3.0,120.0
2,74.0,120.0
2,3.0,120.0
31,145.0,88.0
31,145.0,75.0
45,3.0,24.0
31,555.0,75.0
45,3.0,88.0
31,145.0,75.0
31,3.0,120.0
31,145.0,24.0
45,74.0,120.0
45,145.0,24.0
31,3.0,75.0
2,145.0,120.0
2,74.0,120.0
45,3.0,88.0
2,555.0,120.0
31,74.0,120.0
2,3.0,88.0
31,3.0,75.0
31,555.0,
31,3.0,120.0
31,555.0,88.0
31,555.0,75.0
31,3.0,88.0
2,74.0,75.0
45,145.0,24.0
45,145.0,120.0
45,145.0,75.0
2,145.0,75.0
45,145.0,24.0
2,74.0,75.0
45,145.0,88.0
2,3.0,120.0
31,145.0,24.0
2,145.0,75.0
2,3.0,120.0
31,,
45,145.0,75.0
31,3.0,88.0
45,3.0,88.0
45,145.0,88.0
2,145.0,120.0
2,555.0,88.0
2,,88.0
2,,120.0
31,74.0,24.0
45,3.0,88.0
45,3.0,88.0
2,,120.0
2,74.0,120.0
31,555.0,24.0
31,145.0,88.0
31,145.0,88.0
45,3.0,24.0
2,74.0,75.0
31,74.0,120.0
31,74.0,75.0
31,74.0,75.0
45,145.0,120.0
2,74.0,120.0
45,3.0,88.0
31,3.0,120.0
31,555.0,24.0
2,74.0,120.0
31,3.0,88.0
2,555.0,75.0
45,74.0,88.0
31,74.0,24.0
45,3.0,24.0
2,3.0,120.0
31,145.0,88.0
45,3.0,120.0
31,3.0,75.0
31,3.0,24.0
2,555.0,120.0
2,,88.0
45,555.0,24.0
31,145.0,75.0
45,3.0,75.0
31,145.0,75.0
2,74.0,120.0
2,74.0,24.0
31,74.0,75.0
31,145.0,88.0
45,145.0,88.0
31,145.0,24.0
31,,88.0
31,145.0,75.0
2,74.0,88.0
2,555.0,24.0
2,145.0,120.0
31,3.0,120.0
31,74.0,88.0
31,145.0,75.0
2,145.0,120.0
2,3.0,88.0
31,555.0,75.0
2,145.0,120.0
31,74.0,24.0
2,145.0,120.0
2,555.0,88.0
2,145.0,120.0
45,3.0,88.0
2,145.0,88.0
2,3.0,88.0
31,74.0,24.0
2,145.0,75.0
45,145.0,24.0
31,74.0,88.0
2,555.0,75.0
31,3.0,24.0
2,3.0,88.0
31,3.0,88.0
2,145.0,75.0
31,74.0,75.0
2,145.0,88.0
31,,88.0
31,74.0,24.0
31,3.0,24.0
31,74.0,24.0
31,3.0,75.0
45,3.0,88.0
45,3.0,24.0
31,555.0,
31,3.0,24.0
45,3.0,88.0
31,145.0,24.0
31,,120.0
31,3.0,24.0
2,145.0,120.0
31,145.0,88.0
45,145.0,88.0
31,74.0,24.0
31,74.0,88.0
45,145.0,88.0
31,74.0,88.0
2,555.0,88.0
2,555.0,120.0
2,145.0,75.0
31,74.0,
31,555.0,75.0
2,3.0,88.0
2,3.0,120.0
31,555.0,24.0
2,555.0,24.0
2,145.0,75.0
2,3.0,120.0
2,,120.0
45,555.0,120.0
45,,88.0
31,3.0,24.0
2,555.0,120.0
31,,120.0
45,145.0,120.0
2,555.0,88.0
45,74.0,88.0
45,145.0,88.0
45,145.0,24.0
31,145.0,24.0
2,74.0,88.0
31,555.0,75.0
45,3.0,88.0
2,145.0,120.0
31,145.0,24.0
31,555.0,
2,74.0,
31,555.0,120.0
31,,88.0
45,145.0,88.0
45,74.0,120.0
2,3.0,88.0
31,74.0,75.0
31,3.0,24.0
31,555.0,24.0
31,3.0,88.0
31,145.0,24.0
31,74.0,88.0
31,145.0,75.0
31,555.0,
31,145.0,24.0
45,145.0,88.0
2,145.0,88.0
31,74.0,88.0
45,145.0,24.0
2,,88.0
31,74.0,75.0
45,3.0,75.0
2,145.0,24.0
31,555.0,
2,145.0,120.0
31,555.0,
31,145.0,24.0
2,3.0,120.0
31,74.0,75.0
45,145.0,75.0
31,3.0,75.0
45,145.0,75.0
45,3.0,120.0
31,74.0,120.0
2,145.0,120.0
31,74.0,24.0
2,3.0,88.0
45,3.0,120.0
31,145.0,120.0
31,3.0,75.0
31,3.0,24.0
2,555.0,
2,145.0,88.0
2,555.0,120.0
2,555.0,24.0
31,555.0,120.0
2,3.0,24.0
31,74.0,24.0
2,3.0,120.0
45,145.0,24.0
45,145.0,88.0
31,74.0,24.0
31,3.0,88.0
45,74.0,24.0
31,3.0,75.0
31,74.0,75.0
2,555.0,
31,3.0,75.0
31,555.0,75.0
45,145.0,88.0
2,145.0,88.0
31,145.0,75.0
45,555.0,
2,555.0,
45,145.0,75.0
45,3.0,75.0
2,3.0,120.0
31,,88.0
31,,88.0
2,3.0,24.0
2,145.0,120.0
2,145.0,88.0
2,3.0,88.0
45,555.0,75.0
2,145.0,120.0
45,555.0,88.0
2,,88.0
31,74.0,75.0
31,3.0,88.0
31,74.0,75.0
31,74.0,88.0
2,,120.0
45,74.0,88.0
2,3.0,24.0
2,3.0,120.0
2,555.0,24.0
2,74.0,88.0
2,3.0,120.0
31,145.0,75.0
2,145.0,24.0
31,555.0,
31,555.0,
2,3.0,75.0
